start,end,type
2023-01-01,2023-01-02,New Year's Day
2023-01-20,2023-01-26,Tet Holiday
2023-04-29,2023-04-29,Hung Kings' Commemoration Day
2023-04-30,2023-05-02,Reunification Day & International Workers' Day
2023-09-02,2023-09-02,National Day
2024-01-01,2024-01-01,New Year's Day
2024-02-08,2024-02-14,Tet Holiday
2024-04-18,2024-04-18,Hung Kings' Commemoration Day
2024-04-30,2024-05-01,Reunification Day & International Workers' Day
2024-09-02,2024-09-02,National Day
2025-01-01,2025-01-01,New Year's Day
2025-01-25,2025-02-02,Tet Holiday
2025-04-07,2025-04-07,Hung Kings' Commemoration Day
2025-04-30,2025-05-01,Reunification Day & International Workers' Day
2025-09-02,2025-09-02,National Day
2026-01-01,2026-01-01,New Year's Day
2026-02-14,2026-02-22,Tet Holiday
2026-04-25,2026-04-25,Hung Kings' Commemoration Day
2026-04-30,2026-05-01,Reunification Day & International Workers' Day
2026-09-02,2026-09-02,National Day
